nombre,riego,cuidados,area,genero,precio,tipo_luz,tipo_sustrato
548111,95,Ameliorated zero administration pricing structure,Chiguang,M,22,parturient montes,in
973458,24,Re-contextualized discrete ability,Paris 02,F,21,proin risus,vestibulum ante
486533,41,Devolved human-resource leverage,Hậu Nghĩa,M,68,nulla,augue
786030,99,Streamlined optimizing help-desk,Rudnichnyy,M,83,aliquet,at diam
20241,39,Polarised 3rd generation emulation,Karmai,F,34,pellentesque at,non interdum
58827,83,Fully-configurable mobile groupware,Saint David’s,M,45,vulputate,mi
166591,10,Organized grid-enabled architecture,Stříbro,M,90,odio,nec nisi
640452,72,Expanded full-range secured line,El Coco,F,76,vel,in hac
805188,15,Vision-oriented 3rd generation product,Dongfanghong,M,84,montes,at velit
121838,96,Object-based mobile concept,Kudang,M,28,lectus pellentesque,ut
45245,69,User-friendly coherent framework,Lidköping,M,41,mauris,vitae mattis
287054,3,Advanced leading edge function,Itajaí,M,60,vel,sit
421118,77,Profound content-based concept,Mucumpiz,M,54,blandit,integer a
229626,18,Down-sized client-driven ability,Rufino,M,36,id,eget
492312,82,De-engineered content-based moratorium,Mohelno,F,50,volutpat,non interdum
979925,40,Down-sized user-facing framework,Loreto,M,79,mauris,nulla
197799,95,Progressive 24 hour ability,Olutanga,M,83,accumsan,blandit nam
5961,11,Persevering object-oriented access,Ford,M,55,mauris,nam tristique
272566,57,Fully-configurable asymmetric superstructure,Zambrów,F,65,magna,molestie
642367,75,Streamlined eco-centric moderator,Nu’erbage,F,9,vestibulum eget,libero nullam
773635,99,Networked modular monitoring,Rudo,M,57,at,morbi sem
261004,61,Grass-roots even-keeled moderator,Kohila,F,72,aliquet pulvinar,consequat
227634,84,Versatile 3rd generation core,Sarulla,M,97,amet,fermentum
595289,35,Expanded object-oriented moderator,Xianlong,F,3,iaculis diam,non mauris
8068,53,Horizontal heuristic encoding,Santa Rita Aplaya,F,19,lacinia,nisi
665015,3,Enhanced optimal array,Zhongxin,F,58,mus etiam,at
44030,57,Pre-emptive homogeneous neural-net,Le Mans,F,48,quam nec,vestibulum
972187,58,Monitored value-added info-mediaries,Gungguh,M,48,orci,lorem id
932951,42,Function-based needs-based budgetary management,Rezovac,M,50,aenean,mattis odio
412473,11,Reverse-engineered bi-directional moratorium,Lyakhovtsy,F,43,id,quam
411589,18,Proactive fresh-thinking process improvement,Casa Quemada,F,45,aliquam quis,et ultrices
278971,60,Cross-group systematic open system,San Sebastian,M,2,congue,at lorem
704365,90,Enhanced 6th generation time-frame,Cueto,F,58,amet,sapien placerat
558590,92,Innovative full-range alliance,Dafengdui,M,41,pretium,tortor id
768621,99,Proactive didactic matrix,Nunleu,F,17,ac enim,at
511083,2,Switchable fresh-thinking success,Chuzhou,F,41,adipiscing lorem,quis odio
334885,86,Open-architected disintermediate interface,Ludvika,M,53,ut erat,vestibulum
261478,18,Secured disintermediate methodology,Petrolia,F,19,dis,quam
344081,32,Distributed static methodology,Carolina,F,38,consequat,in imperdiet
390058,20,Polarised bifurcated productivity,Březová nad Svitavou,M,54,sodales,blandit non
427852,27,Centralized explicit encoding,Veiga,M,92,justo,curabitur in
577894,24,Customer-focused 5th generation monitoring,Languan,M,69,duis faucibus,metus vitae
631042,47,Programmable intermediate hierarchy,Kingscourt,M,61,congue,libero convallis
691596,50,Integrated encompassing firmware,Eira Nova,M,57,orci,dolor
646424,29,Open-architected contextually-based definition,Bastia,M,11,hac,elementum
221123,9,Enterprise-wide radical workforce,Norfolk,F,73,sit amet,venenatis turpis
15330,82,Robust holistic orchestration,Jeponkrajan,M,80,nulla eget,tristique
179168,55,Object-based regional infrastructure,Baiquan,M,31,semper interdum,in
671196,88,Mandatory non-volatile interface,Deventer,F,24,natoque,quis
357298,95,Integrated systematic algorithm,Qaxa,F,92,ultricies eu,nulla ultrices
702745,5,Optimized 6th generation project,Bayt ‘Ūr at Taḩtā,M,24,morbi a,commodo vulputate
842443,47,Vision-oriented transitional strategy,Bulgan,M,30,mauris vulputate,risus semper
910612,7,Compatible hybrid secured line,Leiria,M,10,rhoncus aliquam,lacinia
982061,69,Assimilated bi-directional focus group,Punkalaidun,M,7,imperdiet,cras mi
333212,88,Implemented encompassing budgetary management,Strasbourg,F,86,in,in
40940,1,Business-focused web-enabled flexibility,Fengshan,M,53,nullam,arcu
259324,5,Advanced multi-state moratorium,Karak City,M,60,eu nibh,nibh in
988906,89,Integrated 3rd generation pricing structure,Lanuza,F,71,blandit lacinia,natoque
319008,87,Up-sized regional database,Vinha,M,25,vivamus metus,sem
576354,56,Phased upward-trending flexibility,Luksuhin,F,1,tellus,duis
375299,21,Profound needs-based neural-net,Dorp Antriol,F,86,sed lacus,maecenas tristique
34098,34,Front-line radical website,Karobokan,M,83,at,in
751185,20,Balanced methodical task-force,Korczyna,M,37,risus semper,congue
942271,85,Focused real-time firmware,Sete Lagoas,M,19,eu pede,lacinia aenean
192228,17,Self-enabling fresh-thinking access,Ostrožac,F,82,viverra diam,nulla
942112,49,Reduced actuating knowledge user,Enyerhyetykaw,F,45,dictumst,ante ipsum
35321,99,Optional methodical approach,Marteleira,F,41,turpis,at
519109,89,Fundamental bottom-line benchmark,Sabanalarga,F,39,erat,quisque
944813,70,Organic asynchronous parallelism,Annonay,M,61,ut nunc,dapibus
616441,4,Open-architected systemic encryption,Campaka,F,11,venenatis,nulla
673593,3,Monitored local groupware,Junín,M,18,eu,potenti in
997173,49,Focused asymmetric budgetary management,Bukor,M,13,aliquam,maecenas rhoncus
819809,80,Reverse-engineered national task-force,Lazi,F,59,id ornare,pellentesque viverra
